feature,importance,importance_pct
cumulative_snowfall_cm,7361.986088037491,26.25
snow_complaint_count,4262.1727105379105,15.2
daily_snowfall_cm,3630.5092539787292,12.95
day_offset_x_snow,3096.756828904152,11.04
cumulative_thaw_degree_hours,3095.514231443405,11.04
day_offset,2190.3810670375824,7.81
snow_x_elevation,1107.8081640005112,3.95
domi_full_closure_count,812.1484929323196,2.9
days_since_peak_snowfall,582.3267718553543,2.08
snow_complaint_count_log,487.5258400440216,1.74
domi_closure_count,408.5939611196518,1.46
mid_lat,228.49551856517792,0.81
wind_x_roadwidth,209.84327960014343,0.75
mid_lng,143.3966794013977,0.51
plow_coverage_score,132.44463896751404,0.47
elevation_m,76.87113153934479,0.27
plow_coverage_score_log,62.580140233039856,0.22
post_storm_x_elevation,58.89312958717346,0.21
domi_class_enc,45.051920652389526,0.16
is_post_storm,25.25457000732422,0.09
num_lanes,8.73779010772705,0.03
roadwidth,5.775539875030518,0.02
winter_crash_count,5.7396299839019775,0.02
penndot_pavement_idx,3.3464300632476807,0.01
penndot_aadt,2.6420300006866455,0.01
snow_x_steep_slope,0.0,0.0
snow_x_incline,0.0,0.0
temp_x_bridge,0.0,0.0
thaw_x_steep_slope,0.0,0.0
speedlimit,0.0,0.0
bridge_age_years,0.0,0.0
incline_pct,0.0,0.0
has_penndot_data,0.0,0.0
surface_osm_enc,0.0,0.0
highway_type_osm_enc,0.0,0.0
paveclass_enc,0.0,0.0
winter_crash_fatal_log,0.0,0.0
winter_crash_fatal,0.0,0.0
winter_crash_count_log,0.0,0.0
is_snow_emergency_route,0.0,0.0
is_bridge,0.0,0.0
near_landslide,0.0,0.0
near_steep_slope,0.0,0.0
oneway_enc,0.0,0.0
